event-id,visible,timestamp,location-long,location-lat,gps:dop,gps:fix-type,gps:satellite-count,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
11952913778,true,2006-02-06 19:01:55.000,-113.3850349,56.1950531,4.2,3,6,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913779,true,2006-02-07 01:01:49.000,-113.3844635,56.1915843,5.4,3,5,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913780,true,2006-02-07 07:01:49.000,-113.3859046,56.1861441,3.2,3,5,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913781,true,2006-02-07 13:00:54.000,-113.3852063,56.1854521,5.8,3,5,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913782,true,2006-02-08 01:03:10.000,-113.3617504,56.1804044,3.4,2,4,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913783,true,2006-02-08 13:01:54.000,-113.4536111,56.1577941,2.0,3,7,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913784,true,2006-02-08 19:03:04.000,-113.4579489,56.1596677,3.2,2,3,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913785,true,2006-02-09 01:01:54.000,-113.4199015,56.1545752,4.2,2,3,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913786,true,2006-02-09 13:01:52.000,-113.4202155,56.1544847,2.6,2,3,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913787,true,2006-02-09 19:01:54.000,-113.419935,56.154591,2.6,3,5,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913788,true,2006-02-10 01:01:47.000,-113.4192013,56.1545189,5.8,2,3,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913789,true,2006-02-10 07:03:01.000,-113.4197042,56.1545467,2.8,2,3,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913790,true,2006-02-10 19:00:54.000,-113.6656927,56.1933364,5.4,3,5,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913791,true,2006-02-11 01:00:55.000,-113.6967749,56.1766045,5.0,3,5,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913792,true,2006-02-11 13:01:42.000,-113.6157815,56.1133065,9.0,3,5,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913793,true,2006-02-12 01:01:52.000,-113.5039504,56.118706,3.6,2,3,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913794,true,2006-02-12 07:01:54.000,-113.4989957,56.1119494,5.6,3,4,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913795,true,2006-02-12 13:02:15.000,-113.4708209,56.0990421,9.8,3,4,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913796,true,2006-02-13 01:03:11.000,-113.4513455,56.1063845,3.4,2,3,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913797,true,2006-02-13 07:03:11.000,-113.4196771,56.1546816,5.0,2,3,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913798,true,2006-02-13 13:02:35.000,-113.3033311,56.1454526,3.2,3,5,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913799,true,2006-02-13 19:01:23.000,-113.237809,56.1374207,3.2,3,7,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913800,true,2006-02-14 01:00:53.000,-113.2383747,56.1372105,3.0,3,5,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913801,true,2006-02-14 07:00:55.000,-113.2370385,56.1207663,3.6,3,5,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913802,true,2006-02-14 13:01:11.000,-113.2416286,56.0837926,7.8,3,5,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913803,true,2006-02-14 19:00:54.000,-113.2442512,56.0759312,3.0,3,6,"gps","Canis lupus","1","1","Latham Alberta Wolves"
11952913804,true,2006-02-15 01:01:42.000,-113.2276271,56.0633512,6.4,3,5,"gps","Canis lupus","1","1","Latham Alberta Wolves"
